condition,label,rank,story_count,story_mean_nll,suffix_token_accuracy,task_id,token_count,token_mean_nll
rank_16,Joint-IID LoRA rank 16,16,138,1.392797587080825,0.624264320261057,wheel,17161,1.4525340775858306
rank_16,Joint-IID LoRA rank 16,16,115,1.4327578589342185,0.6349137557423941,monkey,11537,1.4705940895315328
rank_16,Joint-IID LoRA rank 16,16,82,1.7218162526659018,0.5850842521323071,princess,9614,1.7185751800108582
rank_16,Joint-IID LoRA rank 16,16,94,1.6960894588332291,0.6013789085259273,plane,10298,1.6870367880769552
rank_16,Joint-IID LoRA rank 16,16,97,1.4571839921731569,0.640640313622999,elephant,9183,1.483644499909082
rank_16,Joint-IID LoRA rank 16,16,88,1.551422998587634,0.5999035679845709,neighbor,10370,1.6089687059447528
rank_16,Joint-IID LoRA rank 16,16,84,1.5103619436465876,0.6085613885635183,dragon,9391,1.5616937130991104
rank_16,Joint-IID LoRA rank 16,16,81,1.5233474044700304,0.6128067771271957,queen,8027,1.5644807968220438
rank_16,Joint-IID LoRA rank 16,16,79,1.5015435539123307,0.6111673841478855,horse,7898,1.7168326762151827
rank_16,Joint-IID LoRA rank 16,16,67,1.4116943364645147,0.6221852803385219,bus,6617,1.4518454230154174
rank_32,Joint-IID LoRA rank 32,32,404,1.519500543417248,0.6273346226190161,mouse,37747,1.5496154358255174
rank_32,Joint-IID LoRA rank 32,32,413,1.6461817165380854,0.6070553266934349,rabbit,38354,1.6741873079229708
rank_32,Joint-IID LoRA rank 32,32,343,1.6623411260436178,0.609354536950421,boat,32070,1.68930717671739
rank_32,Joint-IID LoRA rank 32,32,329,1.502911421021869,0.6065675803520303,brother,40167,1.539658730228371
rank_32,Joint-IID LoRA rank 32,32,287,1.9145123328386107,0.5512730599176704,parent,32795,1.9021788338586896
rank_32,Joint-IID LoRA rank 32,32,272,1.3876824329240263,0.6309387521465369,duck,27952,1.462108986952268
rank_32,Joint-IID LoRA rank 32,32,277,1.3910868090669006,0.6243379531254956,sister,31531,1.4330883898557656
rank_32,Joint-IID LoRA rank 32,32,262,1.4698032369352119,0.6083783120706575,pet,32608,1.5210721853524594
rank_32,Joint-IID LoRA rank 32,32,172,1.5718972887927407,0.607060909470171,bicycle,19176,1.6219506241353194
rank_32,Joint-IID LoRA rank 32,32,169,1.7146942757642898,0.5735874141369377,grandma,22565,1.7374451580001118
rank_32,Joint-IID LoRA rank 32,32,160,1.66947675404732,0.6092416776829708,lion,16642,1.7084634774236378
rank_32,Joint-IID LoRA rank 32,32,169,1.6656386241222467,0.6049743964886612,fairy,17771,1.6849561192417686
rank_32,Joint-IID LoRA rank 32,32,141,1.7173494500032007,0.6062657639718572,train,15066,1.7053059555533776
rank_32,Joint-IID LoRA rank 32,32,117,1.321372942132538,0.6409743366681165,cow,11495,1.3853821009851217
rank_32,Joint-IID LoRA rank 32,32,138,1.4019733540026755,0.6225744420488316,wheel,17161,1.460111337541374
rank_32,Joint-IID LoRA rank 32,32,115,1.443922687211507,0.6326601369506805,monkey,11537,1.481545655206821
rank_32,Joint-IID LoRA rank 32,32,82,1.733486455657147,0.5816517578531308,princess,9614,1.7270400639703225
rank_32,Joint-IID LoRA rank 32,32,94,1.7064458521922312,0.5992425713730821,plane,10298,1.6967949180099242
rank_32,Joint-IID LoRA rank 32,32,97,1.471738805402146,0.6344331917673963,elephant,9183,1.4970395606314189
rank_32,Joint-IID LoRA rank 32,32,88,1.5620784064408928,0.5959498553519769,neighbor,10370,1.6193666648266976
rank_32,Joint-IID LoRA rank 32,32,84,1.5146858702840345,0.6092002981578106,dragon,9391,1.5650035505565945
