backward_transfer,best_story_mean_nll,final_forgetting,final_stage,final_story_mean_nll,first_evaluated_stage,first_story_mean_nll,method,order,task_id,worst_forgetting
0.002613960536143267,1.566312353871388,0.032560790972209874,192,1.5988731448435978,24,1.601487105379741,sequential_lora,round_robin,horse,0.04345233661190773
-0.08854721628223206,1.7347213522355538,0.10082905794551666,192,1.8355504101810705,16,1.7470031938988384,sequential_lora,round_robin,lion,0.10082905794551666
-0.06060424039512369,1.459315384470572,0.07983770814945745,192,1.5391530926200294,16,1.4785488522249057,sequential_lora,round_robin,monkey,0.08549333650305746
-0.01932305830220349,1.558349551456277,0.10295482720899019,192,1.6613043786652673,8,1.6419813203630638,sequential_lora,round_robin,mouse,0.10295482720899019
0.0024201384670989867,1.6293856473240318,0.030508902856345665,192,1.6598945501803775,24,1.6623146886474764,sequential_lora,round_robin,neighbor,0.03292904132344465
-0.03752217052014828,1.992270193211565,0.050461347825319525,192,2.0427315410368845,8,2.005209370516736,sequential_lora,round_robin,parent,0.07235936422720401
-0.0581564044746361,1.4889947477307843,0.07235263275499926,192,1.5613473804857836,8,1.5031909760111475,sequential_lora,round_robin,pet,0.0922193824824975
-0.0025956167706080446,1.7915879139753956,0.0378062305781286,192,1.8293941445535242,24,1.8267985277829162,sequential_lora,round_robin,plane,0.05272022915479058
-0.0287869175061648,1.7958616756314068,0.07285337207087372,192,1.8687150477022805,24,1.8399281301961157,sequential_lora,round_robin,princess,0.07285337207087372
-0.003676949823354647,1.6112484776440106,0.053121229230731926,192,1.6643697068747425,24,1.6606927570513879,sequential_lora,round_robin,queen,0.053121229230731926
-0.01680909699095512,1.6899302237150196,0.08355466333642014,192,1.7734848870514397,8,1.7566757900604846,sequential_lora,round_robin,rabbit,0.08355466333642014
-0.03995182916984108,1.438414737334036,0.06207020575051958,192,1.5004849430845555,8,1.4605331139147144,sequential_lora,round_robin,sister,0.07416669930877573
-0.06249583527324276,1.8019037255302817,0.08087734488584841,192,1.88278107041613,16,1.8202852351428873,sequential_lora,round_robin,train,0.09799856199134771
-0.03473143948353563,1.46236280307292,0.04039377328929761,192,1.5027565763622177,16,1.468025136878682,sequential_lora,round_robin,wheel,0.08805264817525105
