address_oracle_agreement,candidate_evaluations,dataset,exact_noun_route_accuracy,mean_oracle_regret,mean_prefix_entropy,mean_prefix_margin,method,model_forward_equivalent_prefix_tokens,noun_support_accuracy,oracle_story_mean_nll,order,stage,story_count,story_mean_nll,suffix_token_accuracy,task_id,token_count,token_mean_nll
0.5088757396449705,4225,final,0.7455621301775148,0.05152915954292093,3.2134674441884963,0.14642832511980858,independent_noun_exhaustive,557475,0.7455621301775148,1.6714079678188265,offline,192,169,1.7229371273617478,0.5734101484600044,grandma,22565,1.7460922478308785
0.26582278481012656,1975,final,0.7468354430379747,0.051513852205746294,3.2141231615332106,0.12313639287707172,independent_noun_exhaustive,194675,0.7468354430379747,1.4518399591536257,offline,192,79,1.5033538113593716,0.6180045581159788,horse,7898,1.715602058372971
0.44375,4000,final,0.71875,0.059021180238204754,3.2141805559396746,0.10931757763028145,independent_noun_exhaustive,410050,0.71875,1.616625883386592,offline,192,160,1.675647063624798,0.6076192765292633,lion,16642,1.71659142815455
0.30434782608695654,2875,final,0.7652173913043478,0.04251145589522038,3.2135329205056897,0.1213862356932267,independent_noun_exhaustive,284125,0.7652173913043478,1.4001878262760117,offline,192,115,1.442699282171232,0.6346537228048886,monkey,11537,1.4794953675165512
0.21534653465346534,10100,final,0.6287128712871287,0.07699097304706398,3.215108600583407,0.0729212474704969,independent_noun_exhaustive,928525,0.6287128712871287,1.462833001232724,offline,192,404,1.5398239742797883,0.6268842557024399,mouse,37747,1.5695749134070844
0.19318181818181818,2200,final,0.5681818181818182,0.07871351767531069,3.2158846204931084,0.08425998552279039,independent_noun_exhaustive,255800,0.5681818181818182,1.5053412240785582,offline,192,88,1.5840547417538693,0.5982642237222758,neighbor,10370,1.6389089019974494
0.24041811846689895,7175,final,0.5121951219512195,0.07409224207582031,3.2165017019996243,0.04760951738324315,independent_noun_exhaustive,808925,0.5121951219512195,1.8721558150637247,offline,192,287,1.9462480571395457,0.549687452355542,parent,32795,1.9352523075696408
0.2748091603053435,6550,final,0.7519083969465649,0.07945456906297166,3.2147547015707003,0.2003976519553716,independent_noun_exhaustive,805200,0.7519083969465649,1.4192652654121753,offline,192,262,1.4987198344751467,0.6077649656526006,pet,32608,1.5393101244185108
0.39361702127659576,2350,final,0.776595744680851,0.04908906866230571,3.2133902843962323,0.12723914232659847,independent_noun_exhaustive,254100,0.776595744680851,1.6573864858158036,offline,192,94,1.7064755544781096,0.6005049524179452,plane,10298,1.6938305566509526
0.24390243902439024,2050,final,0.6097560975609756,0.04926182501041224,3.2142895518279655,0.05085671602225885,independent_noun_exhaustive,237375,0.6097560975609756,1.6827645602616952,offline,192,82,1.732026385272107,0.5820678177657582,princess,9614,1.7254136806469784
0.4444444444444444,2025,final,0.7283950617283951,0.0516506401835234,3.2128066221872964,0.13230237180804028,independent_noun_exhaustive,197575,0.7283950617283951,1.483716838890833,offline,192,81,1.5353674790743563,0.6166687429924006,queen,8027,1.577469695322805
0.1937046004842615,10325,final,0.6610169491525424,0.062123164410049336,3.214859894343785,0.05590557258296532,independent_noun_exhaustive,943175,0.6610169491525424,1.590223162706741,offline,192,413,1.652346327116788,0.6043958909109871,rabbit,38354,1.6796868313258349
0.2815884476534296,6925,final,0.6389891696750902,0.07945864665645551,3.215293651023066,0.06753598137452714,independent_noun_exhaustive,778075,0.6389891696750902,1.3395229001111595,offline,192,277,1.4189815467676141,0.6253528273762329,sister,31531,1.4586942131998484
0.48226950354609927,3525,final,0.8156028368794326,0.04471386115908513,3.210878761102122,0.1566601924016966,independent_noun_exhaustive,371325,0.8156028368794326,1.6598231822378668,offline,192,141,1.7045370433969527,0.6060002654984734,train,15066,1.6963998490273675
