active_adapter_bytes,active_adapter_count,address_candidate_count_including_base,amortized_optimizer_updates_per_arrival,archived_adapter_bytes,archived_adapter_count,arrival,carry_depth,cumulative_insertion_runtime_seconds,cumulative_optimizer_updates,insertion_optimizer_updates,insertion_runtime_seconds,order,source_shard_id,task_id
10695888,9,10,390.3414634146341,184206960,155,82,0,1766.925693711266,32008,80,4.145632337778807,blocked,6edfb0a736fb3b123c68417e4912595858653b889a34a8f540950ec3f2849145,lion
9507456,8,9,393.0120481927711,187772256,158,83,2,1799.1726478170604,32620,612,32.24695410579443,blocked,49cf7f446ad0ed2b862616b2a35e4424371c916a3a6933e17e2be4615a0691ac,lion
10695888,9,10,389.23809523809524,188960688,159,84,0,1803.1168376542628,32696,76,3.9441898372024298,blocked,2e4499e81696fa4a4dbf8d26ff3d197d745217d24e3da305247c43ad7305fc96,lion
10695888,9,10,387.3411764705882,191337552,161,85,1,1814.789488658309,32924,228,11.672651004046202,blocked,014ad577edce5e252d09edd35883200fdf056ca3ac1dceab7c2d14a036824835,lion
11884320,10,11,383.7674418604651,192525984,162,86,0,1818.9189663417637,33004,80,4.129477683454752,blocked,28a7d7435588d1db62df6a47898f3214756138de89672fa6e89202d82902b8b6,lion
9507456,8,9,394.2068965517241,197279712,166,87,3,1887.9607527591288,34296,1292,69.04178641736507,blocked,f4bd7d701d0d611fcd7a9cbc3cdad7704b1580be5d083382973e83095e648e0e,lion
10695888,9,10,390.6363636363636,198468144,167,88,0,1892.0542770233005,34376,80,4.0935242641717196,blocked,d6b4157b5dee040d6bac1853afda4f0858046d39958413194b3a5c526d4698dc,lion
10695888,9,10,388.85393258426967,200845008,169,89,1,1904.1045559346676,34608,232,12.050278911367059,blocked,42020e12a5674f3e63fff795512aa384bfa75e51d5ab6d31c9af423bd4e9ac7e,fairy
11884320,10,11,385.3777777777778,202033440,170,90,0,1908.002439463511,34684,76,3.897883528843522,blocked,351d74a89ac53a6c221490c9c8188c15f4c7a8b6c7636fa0aa7436c246b9e690,fairy
10695888,9,10,386.989010989011,205598736,173,91,2,1935.5508561469615,35216,532,27.54841668345034,blocked,280825678933c0e5b577afe2f2007ce62d4dbb2793c04fe259da3f1cb86bd225,fairy
11884320,10,11,383.6521739130435,206787168,174,92,0,1939.6671481300145,35296,80,4.116291983053088,blocked,b96377f4b100adcaf246cc7cdccba26a950b8a41a7401ce19e76919cf4d4c055,fairy
11884320,10,11,381.97849462365593,209164032,176,93,1,1951.4330650251359,35524,228,11.765916895121336,blocked,8d77a659cb8ba51289c0a32a492bc7db22758b3ecb08d9cf7eaf0f2191fbae52,fairy
13072752,11,12,378.72340425531917,210352464,177,94,0,1955.2897194419056,35600,76,3.856654416769743,blocked,8ed97bd6b2536d084b259e23a51a4ecad13a6e72d9c46e4859cb3798ec317e54,fairy
8319024,7,8,428.46315789473687,217483056,183,95,5,2262.1125282067806,40704,5104,306.82280876487494,blocked,b0ad500d47bd7a6e47460c30adde4848d0d6cea29ec8256c6c04a2dc90e1421d,fairy
9507456,8,9,424.7916666666667,218671488,184,96,0,2266.009596630931,40780,76,3.8970684241503477,blocked,5a963eadf80bdd9219f03673764bb5f40666d2190d26d62ebdbeeaa17c43ff8c,fairy
9507456,8,9,422.7628865979381,221048352,186,97,1,2277.7828946635127,41008,228,11.773298032581806,blocked,3e2899060f0a74270043da4711dbb42f5b26146076101be2a4fe8f6551b96552,train
10695888,9,10,419.265306122449,222236784,187,98,0,2281.8704067934304,41088,80,4.087512129917741,blocked,9acab0718dccb8b95285407b53485ced20d9e143335d465f8b5eeba8148f3e2e,train
9507456,8,9,420.44444444444446,225802080,190,99,2,2309.991033118218,41624,536,28.120626324787736,blocked,faccb81ee95576436e73d626c7946348274f7adcfda1c2e9a9817fb971975c80,train
10695888,9,10,417.04,226990512,191,100,0,2314.090369930491,41704,80,4.099336812272668,blocked,b7f866686e6c62e57e60c67c249654b346e12dd71bed282a579dbf82b26ec08d,train
10695888,9,10,415.28712871287127,229367376,193,101,1,2326.462275678292,41944,240,12.371905747801065,blocked,c92724e4653c9ff46169188cf532ea38d5fcb64bec89d99446a944356cff1e8d,train
11884320,10,11,412.0,230555808,194,102,0,2330.604715824127,42024,80,4.14244014583528,blocked,17a316a432604dbc028a0a58933726a0b06f8ee091b2490b88570763e81b4957,train
9507456,8,9,419.22330097087377,235309536,198,103,3,2392.348834782839,43180,1156,61.744118958711624,blocked,dbefbfa37a4c8a781d8f6fbd0a83ebeea58e3bac2de3c38b7cd11ad8675cee67,train
10695888,9,10,416.0,236497968,199,104,0,2396.6714534964412,43264,84,4.322618713602424,blocked,4ce47cc08fc2e42a0d9723146977936c1c534da96fb2269f24202d72c58f6dae,train
10695888,9,10,414.2857142857143,238874832,201,105,1,2408.8609733302146,43500,236,12.189519833773375,blocked,66548747a779144cf251ebe6ca802b4680b1489fcc60b07525663b5560c5bc6f,cow
11884320,10,11,411.0566037735849,240063264,202,106,0,2412.573890162632,43572,72,3.7129168324172497,blocked,1468a00bdcc4d400d2bf435e2cfa78df1e63f91a91fedaba00efd41478a73b04,cow
10695888,9,10,412.2616822429907,243628560,205,107,2,2440.6537275072187,44112,540,28.07983734458685,blocked,f901becc0223c18cfccc0752b7c5a97fde2f1569ae1abf82bc27f037dcb9e8b4,cow
11884320,10,11,409.14814814814815,244816992,206,108,0,2444.5323813445866,44188,76,3.8786538373678923,blocked,1266982cdfc6597d28839090ce0f147acea8cbf8007ee612aa78d9b1cef1cde4,cow
11884320,10,11,407.41284403669727,247193856,208,109,1,2455.8468137253076,44408,220,11.314432380720973,blocked,e1c2e4fc24e2eeba6f47e284c19e98fee9db90e3c458d1e63da3bac84eccab21,cow
13072752,11,12,404.4,248382288,209,110,0,2459.715905966237,44484,76,3.8690922409296036,blocked,02f538bba6184f40064bed6105ac52904d4abbf506f1f0f486616db2665a34f3,cow
9507456,8,9,421.94594594594594,254324448,214,111,4,2589.9915636423975,46836,2352,130.27565767616034,blocked,267fc2050ee82e3a3c5efab17dd5cf365d55028e6a134c1254d0ba62f076508d,cow
10695888,9,10,418.82142857142856,255512880,215,112,0,2593.6645986661315,46908,72,3.6730350237339735,blocked,6df780608f91cb316c5feb292383ae5453becbcd1f7277f30668df728a4c34c8,cow
10695888,9,10,417.20353982300884,257889744,217,113,1,2605.815790610388,47144,236,12.151191944256425,blocked,564bfb60f0328e0c665e90a37604052c6cfe0dcdcbefb8b92979a1e9d788bc47,wheel
11884320,10,11,414.35087719298247,259078176,218,114,0,2610.5941843241453,47236,92,4.778393713757396,blocked,8f0d9146473bde9cd846105e247222eb848b787e42edadcd73226f4144b1b4d3,wheel
10695888,9,10,415.5826086956522,262643472,221,115,2,2639.717702396214,47792,556,29.12351807206869,blocked,72c751bdf3da18060ddadcf90e1fa184bf4b53434210929cfefa68004fa88be4,wheel
11884320,10,11,412.7586206896552,263831904,222,116,0,2644.402791503817,47880,88,4.685089107602835,blocked,18f4c61173a5e996fe9b9efe30b681044429739c634192a3345fdf372731b153,wheel
11884320,10,11,411.5213675213675,266208768,224,117,1,2658.727114373818,48148,268,14.324322870001197,blocked,99dd660322372fce1ae3904d521262f2a776b849d2559cd868d4d6c42386f5f9,wheel
13072752,11,12,408.8474576271187,267397200,225,118,0,2663.714011264965,48244,96,4.986896891146898,blocked,8178bfde0a9d6814740c078e174640b381afea95b5567fd46ca1eb3a111911b8,wheel
10695888,9,10,415.5966386554622,272150928,229,119,3,2728.5029078722,49456,1212,64.78889660723507,blocked,c92ab21e61cbaf75d044a25dd3f61ad511b44203ed50d117efb7dfc2784590d4,wheel
11884320,10,11,412.9,273339360,230,120,0,2733.284817656502,49548,92,4.781909784302115,blocked,9279cfc9ce1fdf785a6b4057abfe8dc42db8c02e20aa99379550573cca08ff1a,wheel
11884320,10,11,411.5702479338843,275716224,232,121,1,2746.350553771481,49800,252,13.06573611497879,blocked,b284c37d2e8290e93d4d8405e4bef834d9f7b5c398b2641f8b4c071d8b321379,monkey
13072752,11,12,408.78688524590166,276904656,233,122,0,2750.0379343517125,49872,72,3.6873805802315474,blocked,87ced9e73cdedfb5501a254ad3b0c78df991db0915f99a7d240bb435114332a6,monkey
11884320,10,11,410.1788617886179,280469952,236,123,2,2780.5541035979986,50452,580,30.516169246286154,blocked,ad49b99e873dbb48e83c6f6a4e51cce0abf25606ab59f519bcb95432f749af7a,monkey
13072752,11,12,407.4516129032258,281658384,237,124,0,2784.2495117746294,50524,72,3.6954081766307354,blocked,5ecf2e93e77e014143a802816093faeb852d882aed5ed1532c569b04969f5ee5,monkey
13072752,11,12,405.92,284035248,239,125,1,2795.5483141206205,50740,216,11.298802345991135,blocked,055357dc4f958bfdbeb0221a71d3c7add8f31ded3d420a32255446aae480b654,monkey
14261184,12,13,403.26984126984127,285223680,240,126,0,2799.2177811786532,50812,72,3.669467058032751,blocked,7593a8104775df0e9bd406d98bdf3218de88e2fc0c62d933e899089e5f9e6bef,monkey
