accuracy,stage,task
73.98374080657959,39,26
62.83186078071594,39,27
77.45097875595093,39,28
66.66666865348816,39,29
72.89719581604004,39,30
76.31579041481018,39,31
57.281553745269775,39,32
67.56756901741028,39,33
69.9999988079071,39,34
67.3758864402771,39,35
74.02597665786743,39,36
54.14012670516968,39,37
77.62237787246704,39,38
90.35087823867798,39,39
70.3389823436737,40,1
76.15384459495544,40,2
65.06849527359009,40,3
69.88636255264282,40,4
75.0,40,5
75.0,40,6
66.08695387840271,40,7
78.94737124443054,40,8
61.194032430648804,40,9
71.7391312122345,40,10
67.00000166893005,40,11
64.65517282485962,40,12
71.65354490280151,40,13
71.21211886405945,40,14
62.931036949157715,40,15
64.6616518497467,40,16
76.1904776096344,40,17
76.41509175300598,40,18
67.88991093635559,40,19
60.3960394859314,40,20
77.08333134651184,40,21
68.33333373069763,40,22
64.10256624221802,40,23
62.79069781303406,40,24
69.2307710647583,40,25
69.91869807243347,40,26
64.60176706314087,40,27
72.54902124404907,40,28
62.28070259094238,40,29
72.42990732192993,40,30
77.19298005104065,40,31
66.01941585540771,40,32
70.27027010917664,40,33
64.28571343421936,40,34
68.08510422706604,40,35
75.32467246055603,40,36
54.14012670516968,40,37
81.1188817024231,40,38
79.82456088066101,40,39
83.33333134651184,40,40
70.3389823436737,41,1
73.07692170143127,41,2
64.38356041908264,41,3
74.43181872367859,41,4
70.3125,41,5
75.83333253860474,41,6
64.3478274345398,41,7
74.43609237670898,41,8
62.68656849861145,41,9
72.46376872062683,41,10
67.00000166893005,41,11
56.896549463272095,41,12
72.44094610214233,41,13
68.9393937587738,41,14
57.758623361587524,41,15
59.39849615097046,41,16
73.01587462425232,41,17
76.41509175300598,41,18
63.30274939537048,41,19
62.37623691558838,41,20
78.47222089767456,41,21
64.99999761581421,41,22
63.247865438461304,41,23
63.95348906517029,41,24
66.15384817123413,41,25
71.54471278190613,41,26
65.48672318458557,41,27
78.43137383460999,41,28
64.91228342056274,41,29
68.69158744812012,41,30
76.31579041481018,41,31
57.281553745269775,41,32
67.56756901741028,41,33
67.14285612106323,41,34
67.3758864402771,41,35
74.67532753944397,41,36
54.77706789970398,41,37
75.52447319030762,41,38
70.17543911933899,41,39
68.84058117866516,41,40
72.972971200943,41,41
64.40678238868713,42,1
70.76923251152039,42,2
60.273975133895874,42,3
71.59090638160706,42,4
74.21875,42,5
75.0,42,6
63.4782612323761,42,7
77.44361162185669,42,8
57.46268630027771,42,9
71.01449370384216,42,10
64.99999761581421,42,11
56.896549463272095,42,12
67.71653294563293,42,13
69.69696879386902,42,14
61.20689511299133,42,15
60.15037298202515,42,16
67.46031641960144,42,17
78.30188870429993,42,18
63.30274939537048,42,19
58.415842056274414,42,20
79.16666865348816,42,21
67.5000011920929,42,22
63.247865438461304,42,23
59.302324056625366,42,24
67.69230961799622,42,25
71.54471278190613,42,26
61.06194853782654,42,27
79.41176295280457,42,28
61.40350699424744,42,29
71.49532437324524,42,30
73.68420958518982,42,31
57.281553745269775,42,32
65.76576828956604,42,33
68.57143044471741,42,34
70.92198729515076,42,35
73.3766257762909,42,36
54.77706789970398,42,37
75.52447319030762,42,38
71.05262875556946,42,39
68.11594367027283,42,40
55.40540814399719,42,41
73.52941036224365,42,42
65.25423526763916,43,1
71.53846025466919,43,2
63.01369667053223,43,3
71.02272510528564,43,4
73.4375,43,5
75.0,43,6
61.739128828048706,43,7
72.93233275413513,43,8
57.46268630027771,43,9
71.01449370384216,43,10
62.99999952316284,43,11
57.758623361587524,43,12
69.29134130477905,43,13
70.45454382896423,43,14
60.34482717514038,43,15
61.654132604599,43,16
69.84127163887024,43,17
75.47169923782349,43,18
60.550457239151,43,19
59.405940771102905,43,20
77.77777910232544,43,21
62.5,43,22
55.55555820465088,43,23
58.139532804489136,43,24
63.07692527770996,43,25
71.54471278190613,43,26
60.176992416381836,43,27
78.43137383460999,43,28
63.15789222717285,43,29
67.2897219657898,43,30
74.56140518188477,43,31
53.39806079864502,43,32
65.76576828956604,43,33
