condition_id,inference_condition,architecture,maintenance,router_seed,split,stage,task,examples,routed_accuracy,oracle_accuracy,selection_accuracy
A2,I-U100,r1,flat_full,1993,validation,50,39,110,42.72727272727273,97.27272727272728,45.45454545454545
A2,I-U100,r1,flat_full,1993,validation,50,40,60,31.666666666666664,98.33333333333333,31.666666666666664
A2,I-U100,r1,flat_full,1993,validation,50,41,109,36.69724770642202,100.0,36.69724770642202
A2,I-U100,r1,flat_full,1993,validation,50,42,76,52.63157894736842,100.0,52.63157894736842
A2,I-U100,r1,flat_full,1993,validation,50,43,58,48.275862068965516,98.27586206896551,48.275862068965516
A2,I-U100,r1,flat_full,1993,validation,50,44,85,56.470588235294116,100.0,56.470588235294116
A2,I-U100,r1,flat_full,1993,validation,50,45,102,37.254901960784316,97.05882352941177,38.23529411764706
A2,I-U100,r1,flat_full,1993,validation,50,46,91,59.34065934065934,97.8021978021978,60.43956043956044
A2,I-U100,r1,flat_full,1993,validation,50,47,91,50.54945054945055,98.9010989010989,50.54945054945055
A2,I-U100,r1,flat_full,1993,validation,50,48,85,34.11764705882353,96.47058823529412,34.11764705882353
A2,I-U100,r1,flat_full,1993,validation,50,49,89,76.40449438202246,100.0,76.40449438202246
A3,I-U100,r3,flat_full,1993,validation,50,0,94,63.829787234042556,94.68085106382979,65.95744680851064
A3,I-U100,r3,flat_full,1993,validation,50,1,102,60.78431372549019,94.11764705882352,65.68627450980392
A3,I-U100,r3,flat_full,1993,validation,50,2,117,64.95726495726495,98.29059829059828,65.8119658119658
A3,I-U100,r3,flat_full,1993,validation,50,3,139,69.7841726618705,98.56115107913669,70.50359712230215
A3,I-U100,r3,flat_full,1993,validation,50,4,103,61.165048543689316,92.23300970873787,64.07766990291263
A3,I-U100,r3,flat_full,1993,validation,50,5,95,78.94736842105263,96.84210526315789,80.0
A3,I-U100,r3,flat_full,1993,validation,50,6,92,70.65217391304348,100.0,70.65217391304348
A3,I-U100,r3,flat_full,1993,validation,50,7,107,63.55140186915887,100.0,63.55140186915887
A3,I-U100,r3,flat_full,1993,validation,50,8,105,69.52380952380952,98.09523809523809,70.47619047619048
A3,I-U100,r3,flat_full,1993,validation,50,9,109,73.39449541284404,100.0,73.39449541284404
A3,I-U100,r3,flat_full,1993,validation,50,10,79,54.43037974683544,93.67088607594937,56.9620253164557
A3,I-U100,r3,flat_full,1993,validation,50,11,93,56.98924731182796,98.9247311827957,58.06451612903226
A3,I-U100,r3,flat_full,1993,validation,50,12,102,60.78431372549019,99.01960784313727,60.78431372549019
A3,I-U100,r3,flat_full,1993,validation,50,13,106,66.0377358490566,100.0,66.0377358490566
