condition,method,capacity,stage,accuracy,nll,current_examples,historical_available,introductions,current_reviews,historical_reviews,actual_historical_fraction,actual_historical_fraction_after_introduction,target_historical_fraction_after_introduction,training_forwards,training_backwards,quality_forwards,recompute_forwards,optimizer_steps,mean_batch_size,minimum_batch_size,full_batch_fraction,cumulative_presentations,cumulative_optimizer_steps,training_wall_seconds,cumulative_training_wall_seconds,evaluation_forwards,evaluation_wall_seconds,cumulative_evaluation_wall_seconds,loader_wall_seconds,scheduler_wall_seconds,checkpoint_wall_seconds,peak_vram_bytes,clock_advance,final_clock,historical_due,current_due,never_historically_replayed,quality_0_count,quality_1_count,quality_2_count,quality_3_count,quality_4_count,quality_5_count
srt_h4096,srt,4096,43,78.03160098991053,1.0497931549883095,382,20623,382,4673,12857,0.7177869584635999,0.7334284084426697,0.5,17912,17912,0,0,280,63.97142857142857,58,0.9928571428571429,717972,11265,53.41281398572028,2032.809491733089,5253,11.906941495835781,260.2437613811344,19.211894208565354,2.2033447436988354,3.1687158718705177,4195455488,0,11266,10693.0,16.0,765,2654.0,946.0,1428.0,1265.0,1865.0,9754.0
srt_h4096,srt,4096,44,78.06984603830267,1.0489774856620737,293,21005,293,3776,13487,0.7682273866484393,0.7812662920697445,0.5,17556,17556,0,0,275,63.84,37,0.9927272727272727,735528,11540,50.997117690742016,2083.806609423831,5326,12.002036806195974,272.24579818733037,18.01843257434666,2.238751359283924,2.487155195325613,4195480064,0,11541,10843.0,8.0,636,2756.0,916.0,1496.0,1169.0,1801.0,9418.0
srt_h4096,srt,4096,45,78.30970355367336,1.0856180357196206,422,21298,422,5032,12618,0.6982071713147411,0.7149008498583569,0.5,18072,18072,0,0,283,63.85865724381625,38,0.9929328621908127,753600,11823,54.4617885556072,2138.2683979794383,5431,12.212699519470334,284.4584977068007,19.950094118714333,2.2675600592046976,3.1928728874772787,4195504640,0,11824,11078.0,13.0,719,2780.0,913.0,1517.0,1197.0,1775.0,9890.0
srt_h4096,srt,4096,46,77.92371356603094,1.0559208791164458,509,21720,509,6351,11560,0.6275787187839305,0.6454134330858132,0.5,18420,18420,0,0,288,63.958333333333336,55,0.9930555555555556,772020,12111,53.62383485212922,2191.8922328315675,5558,12.683603314682841,297.14210102148354,18.77282501384616,2.2495642360299826,2.932656826451421,4195529216,0,12112,11494.0,15.0,883,3052.0,973.0,1565.0,1397.0,1997.0,9436.0
srt_h4096,srt,4096,47,77.74642920119908,1.0875086743381428,451,22229,451,5226,12511,0.6878711238179019,0.7053616733382195,0.5,18188,18188,0,0,286,63.59440559440559,3,0.993006993006993,790208,12397,52.95592260360718,2244.8481554351747,5671,12.993638265877962,310.1357392873615,18.75861981138587,2.3901692256331444,2.447331005707383,4195553792,0,12398,11851.0,14.0,857,2857.0,967.0,1521.0,1237.0,1803.0,9803.0
srt_h4096,srt,4096,48,76.82336674732112,1.1316491281214265,458,22680,458,5135,12623,0.6929622310057093,0.7108345534407028,0.5,18216,18216,0,0,286,63.69230769230769,10,0.993006993006993,808424,12683,54.532934388145804,2299.3810898233205,5786,13.21351121738553,323.34925050474703,19.571708533912897,2.6519360207021236,2.9629112612456083,4195578368,0,12684,12076.0,14.0,874,2950.0,989.0,1429.0,1312.0,1799.0,9737.0
srt_h4096,srt,4096,49,77.24957555178268,1.1112207121126654,418,23138,418,5617,12021,0.6657620735489588,0.6815398571266583,0.5,18056,18056,0,0,283,63.802120141342755,34,0.9929328621908127,826480,12966,53.88226821832359,2353.263358041644,5890,13.426889663562179,336.7761401683092,19.18169030919671,2.4091810286045074,3.24497202411294,4195602944,0,12967,12411.0,23.0,907,2975.0,972.0,1538.0,1321.0,1929.0,9321.0
srt_h4096,srt,4096,50,77.33333333333333,1.1099681412612878,444,23556,444,4782,12934,0.7122246696035243,0.7300745089184918,0.5,18160,18160,0,0,284,63.943661971830984,52,0.9929577464788732,844640,13250,53.39155186340213,2406.654909905046,6000,13.641733020544052,350.41787318885326,19.00111024826765,2.5286253336817026,2.6652624625712633,4195627520,0,13251,12615.0,12.0,867,2778.0,915.0,1457.0,1204.0,1793.0,10013.0
uniform_h4096,uniform,4096,1,94.91525423728814,0.12431325828295314,475,0,475,1425,0,0.0,0.0,0.5,1900,1900,0,0,33,57.57575757575758,12,0.7878787878787878,1900,33,5.101318560540676,5.101318560540676,118,0.4742278400808573,0.4742278400808573,1.9504259005188942,0.030985819175839424,0.051092036068439484,4194422272,0,34,,,475,,,,,,
uniform_h4096,uniform,4096,2,90.3225806451613,0.3937208803300608,514,475,514,1735,1707,0.4314964610717897,0.4959325973271354,0.5,3956,3956,0,0,63,62.79365079365079,2,0.9682539682539683,5856,96,10.85054693557322,15.951865496113896,248,0.6825454663485289,1.1567733064293861,4.312268305569887,0.06625554524362087,0.11715049296617508,4194446848,0,97,,,523,,,,,,
