condition,stage,task,accuracy,examples,correct,forgetting,backward_transfer
uniform_h1024,31,1,79.66101694915254,118,94,11.864406779661024,-11.864406779661024
uniform_h1024,31,2,91.53846153846153,130,119,4.615384615384627,-4.615384615384627
uniform_h1024,31,3,86.98630136986301,146,127,0.6849315068493098,0.6849315068493098
uniform_h1024,31,4,85.79545454545455,176,151,11.36363636363636,-11.36363636363636
uniform_h1024,31,5,82.8125,128,106,10.9375,-10.9375
uniform_h1024,31,6,82.5,120,99,4.166666666666671,-4.166666666666671
uniform_h1024,31,7,82.6086956521739,115,95,13.913043478260875,-13.913043478260875
uniform_h1024,31,8,84.21052631578948,133,112,11.278195488721792,-11.278195488721792
uniform_h1024,31,9,83.58208955223881,134,112,5.223880597014912,-5.223880597014912
uniform_h1024,31,10,81.15942028985508,138,112,10.144927536231876,-10.144927536231876
uniform_h1024,31,11,85.0,100,85,10.0,-10.0
uniform_h1024,31,12,79.3103448275862,116,92,12.93103448275862,-12.93103448275862
uniform_h1024,31,13,87.4015748031496,127,111,3.149606299212607,-3.149606299212607
uniform_h1024,31,14,84.0909090909091,132,111,9.848484848484844,-9.848484848484844
uniform_h1024,31,15,79.3103448275862,116,92,5.172413793103445,-5.172413793103445
uniform_h1024,31,16,74.43609022556392,133,99,14.285714285714278,-14.285714285714278
uniform_h1024,31,17,84.92063492063492,126,107,7.936507936507937,-7.936507936507937
uniform_h1024,31,18,88.67924528301887,106,94,6.603773584905653,-6.603773584905653
uniform_h1024,31,19,79.81651376146789,109,87,12.844036697247702,-12.844036697247702
uniform_h1024,31,20,77.22772277227723,101,78,8.910891089108901,-8.910891089108901
uniform_h1024,31,21,86.11111111111111,144,124,8.333333333333329,-8.333333333333329
uniform_h1024,31,22,85.83333333333333,120,103,5.833333333333343,-5.833333333333343
uniform_h1024,31,23,84.61538461538461,117,99,4.2735042735042725,-4.2735042735042725
uniform_h1024,31,24,75.5813953488372,86,65,12.79069767441861,-12.79069767441861
uniform_h1024,31,25,72.3076923076923,65,47,13.846153846153854,-13.846153846153854
uniform_h1024,31,26,80.48780487804878,123,99,14.63414634146342,-14.63414634146342
uniform_h1024,31,27,81.41592920353982,113,92,10.619469026548671,-10.619469026548671
uniform_h1024,31,28,83.33333333333333,102,85,8.82352941176471,-8.82352941176471
uniform_h1024,31,29,78.94736842105263,114,90,10.526315789473685,-10.526315789473685
uniform_h1024,31,30,86.44859813084112,214,185,5.140186915887853,-5.140186915887853
uniform_h1024,31,31,96.49122807017544,114,110,,
uniform_h1024,32,1,80.50847457627118,118,95,11.01694915254238,-11.01694915254238
uniform_h1024,32,2,91.53846153846153,130,119,4.615384615384627,-4.615384615384627
uniform_h1024,32,3,87.67123287671232,146,128,0.0,1.3698630136986196
uniform_h1024,32,4,87.5,176,154,9.659090909090907,-9.659090909090907
uniform_h1024,32,5,84.375,128,108,9.375,-9.375
uniform_h1024,32,6,83.33333333333333,120,100,3.333333333333343,-3.333333333333343
uniform_h1024,32,7,74.78260869565217,115,86,21.73913043478261,-21.73913043478261
uniform_h1024,32,8,85.71428571428571,133,114,9.774436090225564,-9.774436090225564
uniform_h1024,32,9,83.58208955223881,134,112,5.223880597014912,-5.223880597014912
uniform_h1024,32,10,84.05797101449275,138,116,7.246376811594203,-7.246376811594203
uniform_h1024,32,11,80.0,100,80,15.0,-15.0
uniform_h1024,32,12,80.17241379310344,116,93,12.06896551724138,-12.06896551724138
uniform_h1024,32,13,82.67716535433071,127,105,7.874015748031496,-7.874015748031496
uniform_h1024,32,14,84.0909090909091,132,111,9.848484848484844,-9.848484848484844
uniform_h1024,32,15,77.58620689655173,116,90,6.896551724137922,-6.896551724137922
uniform_h1024,32,16,74.43609022556392,133,99,14.285714285714278,-14.285714285714278
uniform_h1024,32,17,84.12698412698413,126,106,8.730158730158735,-8.730158730158735
uniform_h1024,32,18,90.56603773584905,106,96,4.716981132075475,-4.716981132075475
uniform_h1024,32,19,81.65137614678899,109,89,11.0091743119266,-11.0091743119266
uniform_h1024,32,20,75.24752475247524,101,76,10.89108910891089,-10.89108910891089
uniform_h1024,32,21,87.5,144,126,6.944444444444443,-6.944444444444443
uniform_h1024,32,22,82.5,120,99,9.166666666666671,-9.166666666666671
uniform_h1024,32,23,83.76068376068376,117,98,5.128205128205124,-5.128205128205124
uniform_h1024,32,24,68.6046511627907,86,59,19.767441860465112,-19.767441860465112
uniform_h1024,32,25,75.38461538461539,65,49,10.769230769230774,-10.769230769230774
uniform_h1024,32,26,82.11382113821138,123,101,13.00813008130082,-13.00813008130082
uniform_h1024,32,27,81.41592920353982,113,92,10.619469026548671,-10.619469026548671
uniform_h1024,32,28,85.29411764705883,102,87,6.862745098039213,-6.862745098039213
uniform_h1024,32,29,78.0701754385965,114,89,11.403508771929822,-11.403508771929822
uniform_h1024,32,30,85.51401869158879,214,183,6.074766355140184,-6.074766355140184
uniform_h1024,32,31,87.71929824561404,114,100,8.771929824561397,-8.771929824561397
uniform_h1024,32,32,93.20388349514563,103,96,,
uniform_h1024,33,1,78.8135593220339,118,93,12.711864406779668,-12.711864406779668
uniform_h1024,33,2,85.38461538461539,130,111,10.769230769230774,-10.769230769230774
uniform_h1024,33,3,86.98630136986301,146,127,0.6849315068493098,0.6849315068493098
uniform_h1024,33,4,85.79545454545455,176,151,11.36363636363636,-11.36363636363636
uniform_h1024,33,5,84.375,128,108,9.375,-9.375
uniform_h1024,33,6,80.83333333333333,120,97,5.833333333333343,-5.833333333333343
uniform_h1024,33,7,85.21739130434783,115,98,11.304347826086953,-11.304347826086953
uniform_h1024,33,8,85.71428571428571,133,114,9.774436090225564,-9.774436090225564
uniform_h1024,33,9,82.83582089552239,134,111,5.970149253731336,-5.970149253731336
uniform_h1024,33,10,82.6086956521739,138,114,8.695652173913047,-8.695652173913047
uniform_h1024,33,11,81.0,100,81,14.0,-14.0
uniform_h1024,33,12,79.3103448275862,116,92,12.93103448275862,-12.93103448275862
uniform_h1024,33,13,85.03937007874016,127,108,5.511811023622045,-5.511811023622045
uniform_h1024,33,14,84.84848484848484,132,112,9.090909090909093,-9.090909090909093
uniform_h1024,33,15,82.75862068965517,116,96,1.7241379310344769,-1.7241379310344769
uniform_h1024,33,16,78.19548872180451,133,104,10.526315789473685,-10.526315789473685
uniform_h1024,33,17,82.53968253968254,126,104,10.317460317460316,-10.317460317460316
uniform_h1024,33,18,89.62264150943396,106,95,5.660377358490564,-5.660377358490564
