condition,score_mode,bin,lower,upper,examples,accuracy,confidence
srt_h4096_strict_rho80_unit8,calibrated,11,0.7333333333333333,0.8,273,0.7802197802197802,0.7663914030782565
srt_h4096_strict_rho80_unit8,calibrated,12,0.8,0.8666666666666667,361,0.8725761772853186,0.8355321091157768
srt_h4096_strict_rho80_unit8,calibrated,13,0.8666666666666667,0.9333333333333333,546,0.9029304029304029,0.9018123194717004
srt_h4096_strict_rho80_unit8,calibrated,14,0.9333333333333333,1.0,2587,0.979126401236954,0.9843429758467086
uniform_h4096_strict_rho80_unit8,raw,0,0.0,0.06666666666666667,1,0.0,0.02315439965100382
uniform_h4096_strict_rho80_unit8,raw,1,0.06666666666666667,0.13333333333333333,7,0.0,0.10651167170659047
uniform_h4096_strict_rho80_unit8,raw,2,0.13333333333333333,0.2,51,0.11764705882352941,0.17430120751725364
uniform_h4096_strict_rho80_unit8,raw,3,0.2,0.26666666666666666,112,0.11607142857142858,0.23584448718002027
uniform_h4096_strict_rho80_unit8,raw,4,0.26666666666666666,0.3333333333333333,121,0.2727272727272727,0.29678233250024105
uniform_h4096_strict_rho80_unit8,raw,5,0.3333333333333333,0.4,137,0.23357664233576642,0.3648132105608132
uniform_h4096_strict_rho80_unit8,raw,6,0.4,0.4666666666666667,145,0.3793103448275862,0.43182116775487556
uniform_h4096_strict_rho80_unit8,raw,7,0.4666666666666667,0.5333333333333333,151,0.45695364238410596,0.49833906390542587
uniform_h4096_strict_rho80_unit8,raw,8,0.5333333333333333,0.6,182,0.45054945054945056,0.5655545724880872
uniform_h4096_strict_rho80_unit8,raw,9,0.6,0.6666666666666666,142,0.4507042253521127,0.6296534133279285
uniform_h4096_strict_rho80_unit8,raw,10,0.6666666666666666,0.7333333333333333,180,0.5222222222222223,0.7013971321432797
uniform_h4096_strict_rho80_unit8,raw,11,0.7333333333333333,0.8,193,0.5751295336787565,0.7666237968078556
uniform_h4096_strict_rho80_unit8,raw,12,0.8,0.8666666666666667,209,0.6698564593301436,0.8322003788915983
uniform_h4096_strict_rho80_unit8,raw,13,0.8666666666666667,0.9333333333333333,315,0.7428571428571429,0.904217175985884
uniform_h4096_strict_rho80_unit8,raw,14,0.9333333333333333,1.0,4054,0.9649728663048841,0.9929704258438441
uniform_h4096_strict_rho80_unit8,calibrated,0,0.0,0.06666666666666667,3,0.0,0.03565979550614482
uniform_h4096_strict_rho80_unit8,calibrated,1,0.06666666666666667,0.13333333333333333,69,0.10144927536231885,0.11163423067140564
uniform_h4096_strict_rho80_unit8,calibrated,2,0.13333333333333333,0.2,173,0.16184971098265896,0.16727842131038873
uniform_h4096_strict_rho80_unit8,calibrated,3,0.2,0.26666666666666666,196,0.27040816326530615,0.2329154809719211
uniform_h4096_strict_rho80_unit8,calibrated,4,0.26666666666666666,0.3333333333333333,163,0.3128834355828221,0.29858154785251745
uniform_h4096_strict_rho80_unit8,calibrated,5,0.3333333333333333,0.4,197,0.4720812182741117,0.3641100041014843
uniform_h4096_strict_rho80_unit8,calibrated,6,0.4,0.4666666666666667,174,0.4540229885057471,0.43226989641049257
uniform_h4096_strict_rho80_unit8,calibrated,7,0.4666666666666667,0.5333333333333333,194,0.4793814432989691,0.4985875292218506
uniform_h4096_strict_rho80_unit8,calibrated,8,0.5333333333333333,0.6,194,0.5721649484536082,0.5667083065044839
uniform_h4096_strict_rho80_unit8,calibrated,9,0.6,0.6666666666666666,180,0.6777777777777778,0.6330353295171384
uniform_h4096_strict_rho80_unit8,calibrated,10,0.6666666666666666,0.7333333333333333,166,0.6987951807228916,0.6992306479252791
uniform_h4096_strict_rho80_unit8,calibrated,11,0.7333333333333333,0.8,199,0.7989949748743719,0.7679941791082594
uniform_h4096_strict_rho80_unit8,calibrated,12,0.8,0.8666666666666667,287,0.818815331010453,0.8344358493584938
uniform_h4096_strict_rho80_unit8,calibrated,13,0.8666666666666667,0.9333333333333333,451,0.8980044345898004,0.9029881566276841
uniform_h4096_strict_rho80_unit8,calibrated,14,0.9333333333333333,1.0,3354,0.9818127608825283,0.9887878881754587
