condition,metric,kind,previous_quality,lower,upper,count
srt_h1024,clock_gap,historical,2,8192,16384.0,0
srt_h1024,clock_gap,historical,2,16384,32768.0,0
srt_h1024,clock_gap,historical,2,32768,65536.0,0
srt_h1024,clock_gap,historical,2,65536,131072.0,0
srt_h1024,clock_gap,historical,2,131072,262144.0,0
srt_h1024,clock_gap,historical,2,262144,524288.0,0
srt_h1024,clock_gap,historical,2,524288,1048576.0,0
srt_h1024,clock_gap,historical,2,1048576,2097152.0,0
srt_h1024,clock_gap,historical,2,2097152,4194304.0,0
srt_h1024,clock_gap,historical,2,4194304,8388608.0,0
srt_h1024,clock_gap,historical,2,8388608,16777216.0,0
srt_h1024,clock_gap,historical,2,16777216,33554432.0,0
srt_h1024,clock_gap,historical,2,33554432,67108864.0,0
srt_h1024,clock_gap,historical,2,67108864,134217728.0,0
srt_h1024,clock_gap,historical,2,134217728,268435456.0,0
srt_h1024,clock_gap,historical,2,268435456,536870912.0,0
srt_h1024,clock_gap,historical,2,536870912,1073741824.0,0
srt_h1024,clock_gap,historical,2,1073741824,2147483648.0,0
srt_h1024,clock_gap,historical,2,2147483648,4294967296.0,0
srt_h1024,clock_gap,historical,2,4294967296,8589934592.0,0
srt_h1024,clock_gap,historical,2,8589934592,17179869184.0,0
srt_h1024,clock_gap,historical,2,17179869184,34359738368.0,0
srt_h1024,clock_gap,historical,2,34359738368,68719476736.0,0
srt_h1024,clock_gap,historical,2,68719476736,137438953472.0,0
srt_h1024,clock_gap,historical,2,137438953472,274877906944.0,0
srt_h1024,clock_gap,historical,2,274877906944,549755813888.0,0
srt_h1024,clock_gap,historical,2,549755813888,1099511627776.0,0
srt_h1024,clock_gap,historical,2,1099511627776,,0
srt_h1024,clock_gap,historical,3,0,1.0,0
srt_h1024,clock_gap,historical,3,1,2.0,0
srt_h1024,clock_gap,historical,3,2,4.0,0
srt_h1024,clock_gap,historical,3,4,8.0,0
srt_h1024,clock_gap,historical,3,8,16.0,1746
srt_h1024,clock_gap,historical,3,16,32.0,1146
srt_h1024,clock_gap,historical,3,32,64.0,3048
srt_h1024,clock_gap,historical,3,64,128.0,5598
srt_h1024,clock_gap,historical,3,128,256.0,5145
srt_h1024,clock_gap,historical,3,256,512.0,3549
srt_h1024,clock_gap,historical,3,512,1024.0,1407
srt_h1024,clock_gap,historical,3,1024,2048.0,299
srt_h1024,clock_gap,historical,3,2048,4096.0,42
srt_h1024,clock_gap,historical,3,4096,8192.0,0
srt_h1024,clock_gap,historical,3,8192,16384.0,0
srt_h1024,clock_gap,historical,3,16384,32768.0,0
srt_h1024,clock_gap,historical,3,32768,65536.0,0
srt_h1024,clock_gap,historical,3,65536,131072.0,0
srt_h1024,clock_gap,historical,3,131072,262144.0,0
srt_h1024,clock_gap,historical,3,262144,524288.0,0
srt_h1024,clock_gap,historical,3,524288,1048576.0,0
srt_h1024,clock_gap,historical,3,1048576,2097152.0,0
srt_h1024,clock_gap,historical,3,2097152,4194304.0,0
srt_h1024,clock_gap,historical,3,4194304,8388608.0,0
srt_h1024,clock_gap,historical,3,8388608,16777216.0,0
srt_h1024,clock_gap,historical,3,16777216,33554432.0,0
srt_h1024,clock_gap,historical,3,33554432,67108864.0,0
srt_h1024,clock_gap,historical,3,67108864,134217728.0,0
srt_h1024,clock_gap,historical,3,134217728,268435456.0,0
srt_h1024,clock_gap,historical,3,268435456,536870912.0,0
srt_h1024,clock_gap,historical,3,536870912,1073741824.0,0
srt_h1024,clock_gap,historical,3,1073741824,2147483648.0,0
srt_h1024,clock_gap,historical,3,2147483648,4294967296.0,0
srt_h1024,clock_gap,historical,3,4294967296,8589934592.0,0
srt_h1024,clock_gap,historical,3,8589934592,17179869184.0,0
srt_h1024,clock_gap,historical,3,17179869184,34359738368.0,0
srt_h1024,clock_gap,historical,3,34359738368,68719476736.0,0
srt_h1024,clock_gap,historical,3,68719476736,137438953472.0,0
srt_h1024,clock_gap,historical,3,137438953472,274877906944.0,0
srt_h1024,clock_gap,historical,3,274877906944,549755813888.0,0
srt_h1024,clock_gap,historical,3,549755813888,1099511627776.0,0
srt_h1024,clock_gap,historical,3,1099511627776,,0
srt_h1024,clock_gap,historical,4,0,1.0,0
srt_h1024,clock_gap,historical,4,1,2.0,0
srt_h1024,clock_gap,historical,4,2,4.0,0
srt_h1024,clock_gap,historical,4,4,8.0,0
srt_h1024,clock_gap,historical,4,8,16.0,1566
srt_h1024,clock_gap,historical,4,16,32.0,960
