job,seed,phase,epoch,lora_learning_rate,head_learning_rate,training_accuracy,training_nll,training_presentations,optimizer_steps,training_batch_wall_seconds,evaluation_wall_seconds,fit_probe_accuracy,fit_probe_nll,validation_accuracy,validation_nll,stale_epochs,rate_reductions,model_sha256,epoch_hash
development,1993,development,23,0.0001,0.002,88.16666666666667,0.4935847036540508,19200,300,56.67157238163054,16.599713623523712,99.51171875,0.028137248825240456,76.9375,1.1862205720035188,4,1,430ba8c4da1e7378f0ede1dbc853f61a2d968c93a30e8f64e9cb243f2fc57707,c276c22d6613b63464446861e3cb3ff0807ed74e0e564ac3add83ba8868898d0
development,1993,development,24,0.0001,0.002,88.55729166666667,0.48044448912143706,19200,300,56.04104444012046,16.703376622870564,99.51171875,0.026203521540085917,76.66666666666667,1.1846238113024226,5,1,45f7e81996eae8bfc16b2bada67641953a2a7e9954314d72b63d0f6b5315e430,7dfd666f7752ee7205bbb2bc910750ff13c2bdbf71a3b614ca914a56bd5e53e5
development,1993,development,25,0.0001,0.002,88.67708333333333,0.4840650365749995,19200,300,57.309078404679894,17.15215714648366,99.462890625,0.02499310586647987,76.70833333333333,1.1874343772202824,6,1,e527b4723e802f075ca43286741ba9d45db3b027849117135cc87e1041a238f1,20a21df985ef8b4565bbb65b3dae15deea44e49c80e1ee67d3f03c4d81734d88
development,1993,development,26,0.0001,0.002,88.47916666666667,0.48069532071550686,19200,300,55.849911810830235,16.801046054810286,99.4140625,0.025340032129900814,76.875,1.1878890988599278,7,1,23b8e7d2957f82d617f6edc811c2bb9d5ad9ea56b336d599d2514d5ace7009bd,159bd2f893138df2023391e18242613bc5abc6476ed761e3b6e0768260d5d6c8
development,1993,development,27,0.0001,0.002,88.55729166666667,0.4764866766830285,19200,300,56.80365636385977,15.490208495408297,99.560546875,0.026418826383917796,77.04166666666667,1.1770793605361245,0,2,624d97b21a94648d801d891b4d840802c8045861e1391098ba739d7e9adbb125,9e8b3e7bbeaf6502a648128fdcce878c1ac4e21647f2999fbfa15c0557b3f8a8
development,1993,development,28,2.0000000000000005e-05,0.0004000000000000001,88.60416666666667,0.47107104120155174,19200,300,48.683445828035474,15.273878309875727,99.560546875,0.024634404526822955,76.95833333333333,1.1875893785908205,1,2,4604c52ffa1b5f03d0d1a2329e2d5698ffbb0568182433a3aa5dcd045724f127,60c3044c2519700ec0b700f2b652b59e75aaa94294894ae2755604da9b42cda4
development,1993,development,29,2.0000000000000005e-05,0.0004000000000000001,88.92708333333333,0.45959207490086557,19200,300,50.32768040895462,15.488970063626766,99.658203125,0.024599803962807018,77.0625,1.1835791863925835,2,2,bc962788ae92a58559697d0fe2f6c8a87f1356552f03ed82d1e366726745dae1,01d0eb3889cc891865ff8b7fe7a300e581307043ae05091b54abe939cb13eee0
development,1993,development,30,2.0000000000000005e-05,0.0004000000000000001,89.38020833333333,0.44433418502410255,19200,300,55.699362790212035,16.461730355396867,99.658203125,0.023821317930877165,76.9375,1.1875148811114102,3,2,7e115eb29c0e0d871da6eb16bfa1205cad8a0600b280fe957d5668b203078ac0,027f3bb24d912c6783aae6188f83dccdb879ce04fd0364731991b50fd2a15073
development,1993,development,31,2.0000000000000005e-05,0.0004000000000000001,89.140625,0.44628314015765985,19200,300,56.71824711933732,16.564037332311273,99.462890625,0.023769542013670257,77.125,1.1904469506488866,4,2,6fb741bc77a03fe99c0f1756961660d38bec0446308c340ca7c0355de388067e,4e56271a30f923c16afc180f439bfc8752b4dfaed6a10177445b183f0fbeaaa7
development,1993,development,32,2.0000000000000005e-05,0.0004000000000000001,89.11458333333333,0.45715098798274995,19200,300,51.47835237905383,15.2831946387887,99.609375,0.023377400492207417,77.08333333333333,1.1895624909524933,5,2,7e0b2043bb15da17b6a2bb759a068adcdb8ea772de57f83ae0349d10c3dfa5b7,60a529c2913381182fa4fd5e9342adeee27ae9acf1753cfda22d11266bae5d3b
