condition,learned_permutation_count,active_node_count,accuracy,cross_entropy,training_examples,current_examples,historical_examples,epochs,total_training_wall_seconds,state_initialization_wall_seconds,data_preparation_wall_seconds,feature_wall_seconds,optimizer_wall_seconds,total_training_forward_example_passes,feature_forward_example_passes,integrator_forward_example_passes,integrator_backward_example_passes,feature_forward_calls,integrator_forward_calls,integrator_backward_calls,excluded_diagnostic_forward_example_passes,excluded_evaluation_examples,excluded_evaluation_feature_forward_example_passes,excluded_evaluation_integrator_forward_example_passes_per_condition
integrator_uniform_replay,61,5,0.7385373711585999,0.9574382901191711,512,256,256,4,0.15033142268657684,0.0,0.01753045618534088,0.06873469427227974,0.06406627222895622,4608,2560,2048,2048,10,32,16,1024,15616,78080,15616
integrator_uniform_replay,62,5,0.7366431355476379,0.9907639026641846,512,256,256,4,0.2154435347765684,0.0,0.022006476297974586,0.12800660356879234,0.06543045490980148,4608,2560,2048,2048,10,32,16,1024,15872,79360,15872
integrator_uniform_replay,63,6,0.71645587682724,1.0455461740493774,512,256,256,4,0.16256321966648102,0.0,0.02070644311606884,0.07888214103877544,0.06297463551163673,5120,3072,2048,2048,12,32,16,1024,16128,96768,16128
integrator_uniform_replay,64,1,0.7584228515625,0.923994779586792,512,256,256,4,0.13314820639789104,0.0,0.023681640625,0.031121380627155304,0.07834518514573574,2560,512,2048,2048,2,32,16,1024,16384,16384,16384
integrator_uniform_replay,65,2,0.7567908763885498,0.9618586301803589,512,256,256,4,0.12072745896875858,0.0,0.021506857126951218,0.038745567202568054,0.06047503463923931,3072,1024,2048,2048,4,32,16,1024,16640,33280,16640
integrator_uniform_replay,66,2,0.7907196879386902,0.8547738790512085,512,256,256,4,0.13056155666708946,0.0,0.020118888467550278,0.03544404357671738,0.07499862462282181,3072,1024,2048,2048,4,32,16,1024,16896,33792,16896
full_replay_integrator_20_epochs,66,2,0.7877012491226196,0.8597013354301453,16896,16896,0,20,7.417607139796019,0.01992751471698284,0.017685027793049812,0.31327531300485134,7.066719284281135,371712,33792,337920,337920,18,2640,2640,33792,16896,33792,16896
integrator_uniform_replay,67,3,0.7592117786407471,0.9365608096122742,512,256,256,4,0.13521822355687618,0.0,0.01984355039894581,0.044571755453944206,0.07080291770398617,3584,1536,2048,2048,6,32,16,1024,17152,51456,17152
integrator_uniform_replay,68,2,0.7827435731887817,0.9222578406333923,512,256,256,4,0.12696832045912743,0.0,0.02485179528594017,0.03586198389530182,0.06625454127788544,3072,1024,2048,2048,4,32,16,1024,17408,34816,17408
integrator_uniform_replay,69,3,0.7631340622901917,0.9164388179779053,512,256,256,4,0.14241819269955158,0.0,0.025093182921409607,0.047663772478699684,0.06966123729944229,3584,1536,2048,2048,6,32,16,1024,17664,52992,17664
integrator_uniform_replay,70,3,0.7613839507102966,0.8976009488105774,512,256,256,4,0.13644655980169773,0.0,0.02612837217748165,0.04631097801029682,0.06400720961391926,3584,1536,2048,2048,6,32,16,1024,17920,53760,17920
integrator_uniform_replay,71,4,0.7480744123458862,0.9064401984214783,512,256,256,4,0.15091361105442047,0.0,0.026031475514173508,0.05953233130276203,0.06534980423748493,4096,2048,2048,2048,8,32,16,1024,18176,72704,18176
integrator_uniform_replay,72,2,0.7732204794883728,0.921879768371582,512,256,256,4,0.12058226019144058,0.0,0.02846216782927513,0.03271667659282684,0.05940341576933861,3072,1024,2048,2048,4,32,16,1024,18432,36864,18432
integrator_uniform_replay,73,3,0.7579195499420166,0.945967972278595,512,256,256,4,0.14991047605872154,0.0,0.024523578584194183,0.04544216953217983,0.07994472794234753,3584,1536,2048,2048,6,32,16,1024,18688,56064,18688
integrator_uniform_replay,74,3,0.7533255815505981,0.9019100069999695,512,256,256,4,0.14532425440847874,0.0,0.02688165381550789,0.046439530327916145,0.0720030702650547,3584,1536,2048,2048,6,32,16,1024,18944,56832,18944
integrator_uniform_replay,75,4,0.7595312595367432,0.8880862593650818,512,256,256,4,0.15346090495586395,0.0,0.025936054065823555,0.05712948739528656,0.07039536349475384,4096,2048,2048,2048,8,32,16,1024,19200,76800,19200
integrator_uniform_replay,76,3,0.7518503069877625,0.9384456276893616,512,256,256,4,0.15570954233407974,0.0,0.02832980826497078,0.05808264762163162,0.06929708644747734,3584,1536,2048,2048,6,32,16,1024,19456,58368,19456
integrator_uniform_replay,77,4,0.7578125,0.8891867399215698,512,256,256,4,0.1692942138761282,0.0,0.02850433997809887,0.06306561827659607,0.07772425562143326,4096,2048,2048,2048,8,32,16,1024,19712,78848,19712
integrator_uniform_replay,78,4,0.7532051205635071,0.9273562431335449,512,256,256,4,0.16275924257934093,0.0,0.029976096004247665,0.062011417001485825,0.07077172957360744,4096,2048,2048,2048,8,32,16,1024,19968,79872,19968
