arm,arm_label,result_source,policy,max_nodes_per_level,run_seed,training_sample_multiplier,base_parameter_count,condition,learned_permutation_count,active_node_count,input_slot_count,integrator_parameter_count,accuracy,cross_entropy,training_examples,current_examples,historical_examples,epochs,total_training_wall_seconds,state_initialization_wall_seconds,data_preparation_wall_seconds,feature_wall_seconds,optimizer_wall_seconds,total_training_forward_example_passes,feature_forward_example_passes,integrator_forward_example_passes,integrator_backward_example_passes,feature_forward_calls,integrator_forward_calls,integrator_backward_calls,excluded_diagnostic_forward_example_passes,excluded_evaluation_examples,excluded_evaluation_feature_forward_example_passes,excluded_evaluation_integrator_forward_example_passes_per_condition
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,53,4,7,4411658,0.7457989454269409,0.9388484358787537,512,256,256,4,0.13275393843650818,0.0,0.01575152389705181,0.0574354212731123,0.05956699326634407,4096,2048,2048,2048,8,32,16,1024,13568,54272,13568
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,54,4,7,4411658,0.7486979365348816,0.9634014964103699,512,256,256,4,0.1350486408919096,0.0,0.015680527314543724,0.05759090557694435,0.061777208000421524,4096,2048,2048,2048,8,32,16,1024,13824,55296,13824
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,55,5,7,4411658,0.7330965995788574,0.9730799794197083,512,256,256,4,0.15215848572552204,0.0,0.018960226327180862,0.0645425133407116,0.06865574605762959,4608,2560,2048,2048,10,32,16,1024,14080,70400,14080
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,56,3,7,4411658,0.7610909342765808,0.9525307416915894,512,256,256,4,0.14468552358448505,0.0,0.019173869863152504,0.05395592004060745,0.0715557336807251,3584,1536,2048,2048,6,32,16,1024,14336,43008,14336
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,57,4,7,4411658,0.7060717940330505,1.030311942100525,512,256,256,4,0.14799544215202332,0.0,0.019559556618332863,0.058765312656760216,0.06967057287693024,4096,2048,2048,2048,8,32,16,1024,14592,58368,14592
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,58,4,7,4411658,0.7453529238700867,0.9792037606239319,512,256,256,4,0.15089327655732632,0.0,0.020816316828131676,0.06478975340723991,0.06528720632195473,4096,2048,2048,2048,8,32,16,1024,14848,59392,14848
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,59,5,7,4411658,0.729806661605835,1.00796377658844,512,256,256,4,0.15708773210644722,0.0,0.020190786570310593,0.07015605457127094,0.06674089096486568,4608,2560,2048,2048,10,32,16,1024,15104,75520,15104
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,60,4,7,4411658,0.7178385257720947,1.0317528247833252,512,256,256,4,0.153139254078269,0.0,0.022083375602960587,0.05858778394758701,0.0724680945277214,4096,2048,2048,2048,8,32,16,1024,15360,61440,15360
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,61,5,7,4411658,0.7385373711585999,0.9574382901191711,512,256,256,4,0.15609708428382874,0.0,0.02014436013996601,0.06831765174865723,0.0676350723952055,4608,2560,2048,2048,10,32,16,1024,15616,78080,15616
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,62,5,7,4411658,0.7366431355476379,0.9907639026641846,512,256,256,4,0.16179224103689194,0.0,0.020269343629479408,0.07900568097829819,0.06251721642911434,4608,2560,2048,2048,10,32,16,1024,15872,79360,15872
